company_code,ticker_symbol,company_name,market,shariah_board,sector,subsector,classification,timestamp
9510,9510,الشركة الوطنية للبناء والتسويق,نمو,الراجحي المالية,,,شرعي,2025-08-23T07:35:37.274108
9537,9537,شركة أمواج الدولية,نمو,الراجحي المالية,,,شرعي,2025-08-23T07:35:37.274146
9542,9542,شركة كير الدولية,نمو,الراجحي المالية,,,شرعي,2025-08-23T07:35:37.274164
9546,9546,شركة نبع الصحة للخدمات الطبية,نمو,الراجحي المالية,,,شرعي,2025-08-23T07:35:37.274179
9549,9549,شركة عبدالعزيز ومنصور ابراهيم البابطين,نمو,الراجحي المالية,,,شرعي,2025-08-23T07:35:37.274194
9548,9548,شركة صناعة البلاستيك العربية,نمو,الراجحي المالية,,,شرعي,2025-08-23T07:35:37.274211
9551,9551,شركة برج المعرفة التجارية,نمو,الراجحي المالية,,,شرعي,2025-08-23T07:35:37.274226
9555,9555,شركة لين الخير للتجارة,نمو,الراجحي المالية,,,شرعي,2025-08-23T07:35:37.274242
9559,9559,شركة بلدي للدواجن,نمو,الراجحي المالية,,,شرعي,2025-08-23T07:35:37.274258
9556,9556,شركة نفوذ للمنتجات الغذائية,نمو,الراجحي المالية,,,شرعي,2025-08-23T07:35:37.274274
9569,9569,شركة آل منيف للتجارة والصناعة والزراعة والمقاولات,نمو,الراجحي المالية,,,شرعي,2025-08-23T07:35:37.274288
9579,9579,شركة البخور الذكي للتجارة,نمو,الراجحي المالية,,,شرعي,2025-08-23T07:35:37.274304
9589,9589,شركة فاد العالمية,نمو,الراجحي المالية,,,شرعي,2025-08-23T07:35:37.274319
9593,9593,شركة عبر الخليج للتسويق,نمو,الراجحي المالية,,,شرعي,2025-08-23T07:35:37.274333
9599,9599,شركة الطاقات المعدنية للتجارة,نمو,الراجحي المالية,,,شرعي,2025-08-23T07:35:37.274348
9605,9605,شركة نفط الشرق للصناعات الكيماوية,نمو,الراجحي المالية,,,شرعي,2025-08-23T07:35:37.274362
9607,9607,شركة مصنع عسق للبلاستيك,نمو,الراجحي المالية,,,شرعي,2025-08-23T07:35:37.274377
